Text,Sentiment
"The rooms are extremely small, practically only a bed.",negative
Room safe did not work.,negative
Mattress very comfortable.,positive
"Very uncomfortable, thin mattress, with plastic cover that rustles every time you move.",negative
No bathroom in room,negative
The bed was soooo comfy.,positive
someone must have been smoking in the room next door.,negative
The bed is very comfortable.,positive
"Very spacious rooms, quiet and very comfortable.",positive
For 3 people in a bedroom the sofa bed is aBt unconfortable.,negative
Lights in the common room were too dim.,negative
Air conditioning working fine.,positive
"So if you're the type that likes to let water run a bit before getting wet or it takes a minute to figure out how to make it hot, you're gonna get wet.",negative
the windows are only single glazed so the heat could escape- although to be fair it was -6 outside!,negative
"Terrible, small cubbyholes, which are marketed as rooms.",negative
"Corridors filthy
Room filthy
Electrical cables in room not safe
Whole building smelly
Shower repulsive",negative
walls seem to have no sound insulation,negative
The gym was very small and basic,negative
"The mattresses were too ""springy"" and uncomfortable.",negative
very light and the comfy of the bed was unbeatable.,negative
Shows some wear and tear.,negative
"Some thinks didnt work well : air, tv , open windows,",negative
Microwave needed!,negative
Room wasn't cleaned or bed made up,negative
"The room had cable TV, a safe, an iron, a hairdryer and free coffee & tea in the downstairs area.",positive
"The heat in the room fluctuated -- at times it felt a little draft, and on my last night, the fan was really loud.",negative
#NAME?,negative
"The building was under renovation,",positive
The water pressure was not that strong in the shower.,negative
Room too small to open suitcase.,negative
no elevator might be a challenge for some people,negative
Pay extra.. :( Room was tiny,negative
and hip and CLEAN!,positive
Comfortable bed and selection of pillows.,positive
The TV was not working.,negative
The walk up 4 stories,negative
Hallways to room stale and didn't feel clean.,negative
there was a building under construction across the road which was extremely noisy throughout the day.,negative
Bathtub not clean.,negative
Hot water was abundant and the A/C (window unit) was ice cold - Excellent!,positive
"Access to fitness facilities, especially the pool was a real value added.",positive
Barely room for anything else than sleep.,negative
Lift was a bit of a pain with card access.,negative
Could have used a little more counter room in bath and we didn't think the restaurant looked very inviting compared to the rest of the hotel.,negative
"The bed was highly uncomfortable, although the engineer fixed it",negative
The memory foam mattress - we all agreed the best night's sleep in a hotel EVER...,positive
Toilet paper wasn't replaced everyday!,negative
The extra beds are not the greatest (a futon and a sleeper couch),negative
Room was extremely cramped.,negative
Shower cap n sanitary bags not available in the room.,negative
it was freezing cold in my room for the night I stayed.,negative
Outside seating was lovely,negative
The heating was unbelievably noisy during the night.,negative
"bed, smell.",negative
Bathroom area large would have been nice with a bathtub.,positive
Shared restrooms do not support many rooms and/or many people.,negative
Stiff feel to the place- no amenities.,negative
"Lovely room, bed was so comfortable!",positive
Every 15 minutes door were slamming & lights on.,negative
"After that time, mostly quiet apart from some door slamming by other guests.",negative
The top of the window was then covered by the dirty blind.,negative
"Detest the glass ""door"" if shower/tub .. with?",negative
"this was expected, clean towels and room cleaned every day.",positive
"Barely a few degrees warmer than outside during winter, so I had to rug up and wear shoes to use the toilet.",negative
ac was terrible,negative
More plug outlets with surge protectors.,negative
"Just to give you an idea: the shutters of the windows were not working, did not go neither up or down - just hanging down only one side and the other up....",negative
The phone in my room was not working.,negative
"Elevators are slow, very long lines.",negative
Location anda facilities,positive
There was also  garbage in our kitchen - there were isntant coffee packages left from previous customers.,negative
Amazing facilities.,positive
"Only one elevator ,",negative
Room was very spacious,positive
The bathroom is dirty.,negative
Roof terrace great,negative
No tea or coffee making facilities in the rooms,negative
the room had aircon and we had earplugs and slept soundly.,positive
"Also, when the bright bathroom lights are turned on, it lights up the whole hotel room, shining thru the frosted glass panels.",negative
The Bed was SUPER COMFY !,positive
"Bathroom was extra small,",negative
Rooms are cosy with great temperature control.,positive
Facilities were very clean.,positive
only if you don't mind stains in your bed sheets or cockroaches in your (shared) bathroom.,negative
The bathroom functioned o.k.,negative
Poor TV picture and channel selection.,negative
No elevator.,negative
essential gym to allow for some workout.,positive
"Rooms quite small for price, especially if you use a travel cot.",negative
room was not at all inviting.,negative
Wifi connected,negative
Everything was very clean.,positive
Windows haven't been cleaned for years (if ever).,negative
"Showers could do with some renovations - they seem clean,",negative
Only cold water came out.,negative
the Persian decor is so half-hearted it - I'd take down the 5 lengths of Turkish bunting lanterns above the glass roofed bar or cover the whole area with them - 30 more (!),negative
The toilet ran until you jiggled the handle.,negative
The bed was terrible and not comfortable at all,negative
Mattresses and linens were all great.,positive
"No wardrobe, no space for luggage, no towel change, walls are not sound proof thus very noisy.",negative
The elevators were fast - never we had to wait long for a one.On 15th floor the city noise was not bothering at all and after the whole day walking around we were sleeping execellent.,positive
Has most things you need.,positive
"Bed was not a full size 2,40 cm long bed, they were smaller.",negative
very spartan.,negative
Room extremely small.,negative
No walls mean oher guests being loud at all hrs.,negative
"Very nice rooftop terrace, and gym.",positive
Wallpaper is peeking off in places.,negative
Insufficient and hard to reach plugs to charge devices.,negative
"Mouse in the room,
No Wifi,
No cleaning service in 3 days,
No elevators,
Doors to outside of hotel didn't lock anymore,
On main avenue, with constructions, one of our room was pretty loud.",negative
"No bath, only a shower, and I requested 2 queen size beds",negative
I called and they just hadn't received the shipment of clean towels.,negative
The room was clean.,positive
"I don't mind the small space,
just would have liked a bit more ""style.""",negative
"King Room was spacious with plenty of room to spread out and unpack, especially awesome for an extended stay.",positive
Hotel was very clean and had character.,positive
on HVAC vent.,negative
We just had to place our luggage on the floor.,negative
Unclean bathrooms.,negative
Only negative was the old and very loud air conditioning in the rooms.,negative
there was dust and tissue under the bed.,negative
The bed was very comfy & the room spacious.,positive
No air conditioning.,negative
Bath and shower were in poor condition and didn''t hold the water.,negative
I was told I would have two double beds.,negative
"Bathroom and shower were very good!, lighting as well.",positive
Rooms too small.,negative
Our room had left over garbage from whomever stayed there prior.,negative
The floor was not very clean.,negative
Very comfortable beds.,positive
The only area of improvement would be the fitness center.,negative
The pool is the best!,positive
"good soundproofing to windows), great showerroom with excellent hot shower, good air con, free wifi and coffee maker.",positive
5 star qualiity towels and linen.,positive
we only had 7 channels which four of them werent in english.,negative
"It's much more potent and pleasant than
any Febreeze scent.
",positive
"Some have small televisions, flat screen, or the old 1990's tube, as well as, some of the rooms do not have that amenity.I usually book a double room, which thus far comes with a window and is a bit more spacious.The single rooms are much smaller, yet comfortable.",positive
Room was large for my family of 4 adults.,positive
"My room was pretty soulless, although it did have a great view.",negative
The room itself was very clean.,positive
My room was immaculate and smelled so fresh and clean.,positive
quiet place.,positive
